resume_jd,skill_coverage,experience,github,leetcode,job_readiness,status
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
8.0,0.0,75,0.0,0.0,17.4,unknown
80.0,100.0,75,0.0,0.0,64.0,unknown
80.0,100.0,75,0.0,57.0,69.7,unknown
80.0,100.0,75,0.0,57.0,69.7,unknown
8.0,0.0,75,0.0,57.0,23.1,unknown
8.0,0.0,75,0.0,57.0,23.1,unknown
37.0,50.0,100,50.0,0.0,51.1,unknown
45.0,50.0,75,25.0,0.0,44.75,unknown
8.0,0.0,75,0.0,57.0,23.1,unknown
10.0,0.0,75,0.0,57.0,23.7,unknown
40.0,50.0,75,50.0,57.0,52.7,unknown
12.0,0.0,75,0.0,57.0,24.3,unknown
13.0,0.0,100,0.0,0.0,23.9,unknown
10.0,0.0,75,0.0,0.0,18.0,unknown
78.0,100.0,75,0.0,57.0,69.1,unknown
78.0,100.0,75,100.0,0.0,78.4,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
40.0,60.0,100,20.0,0.0,50.0,unknown
13.0,0.0,100,0.0,0.0,23.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
35.0,40.0,75,40.0,57.0,47.2,unknown
8.0,0.0,75,0.0,57.0,23.1,unknown
81.0,100.0,75,0.0,57.0,70.0,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
80.0,100.0,75,0.0,57.0,69.7,unknown
8.0,0.0,75,0.0,57.0,23.1,unknown
8.0,0.0,75,0.0,57.0,23.1,unknown
8.0,0.0,75,0.0,57.0,23.1,unknown
8.0,0.0,75,0.0,57.0,23.1,unknown
8.0,0.0,75,0.0,57.0,23.1,unknown
8.0,0.0,75,0.0,57.0,23.1,unknown
8.0,0.0,75,0.0,57.0,23.1,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
40.0,60.0,100,20.0,0.0,50.0,unknown
13.0,0.0,100,0.0,0.0,23.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
35.0,40.0,75,40.0,57.0,47.2,unknown
8.0,0.0,75,0.0,57.0,23.1,unknown
81.0,100.0,75,0.0,57.0,70.0,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
80.0,100.0,75,0.0,57.0,69.7,unknown
80.0,100.0,75,0.0,57.0,69.7,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
40.0,60.0,100,20.0,0.0,50.0,unknown
40.0,60.0,100,20.0,0.0,50.0,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
40.0,60.0,100,20.0,0.0,50.0,unknown
40.0,60.0,100,20.0,0.0,50.0,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
43.0,60.0,100,60.0,0.0,56.9,unknown
40.0,60.0,100,20.0,0.0,50.0,unknown
